ParName   Value   Gradient
SR_parm[1]      19.0877      42.1606
SR_parm[2]            4    0.0209797
recdev1(1994)     0.453138      0.47003
recdev1(1995)     -3.72638    -0.808844
recdev1(1996)     -3.96281    -0.671765
recdev1(1997)    -0.210661     0.376544
recdev1(1998)      1.25984      3.88687
recdev1(1999)     -3.90529    -0.646701
recdev1(2000)     -4.20178    -0.378709
recdev1(2001)      2.24715      13.6196
recdev1(2002)      -3.1382    -0.839685
recdev1(2003)     -4.57227   -0.0734445
recdev1(2004)     -4.57227    -0.117798
recdev1(2005)     -4.57227    -0.101578
recdev1(2006)     -4.51952    -0.384368
recdev1(2007)     -3.82581    -0.708514
recdev1(2008)     -2.70568    -0.983662
recdev1(2009)   -0.0440583    -0.253325
recdev1(2010)      2.28244      6.47003
recdev1(2011)     0.753105    -0.394166
recdev1(2012)     0.613011    -0.964187
recdev1(2013)      0.95259     -1.13735
recdev1(2014)      2.82939     -1.12615
recdev1(2015)      5.42773     0.359896
recdev1(2016)      5.42773     0.264888
recdev1(2017)      5.42773     0.242201
recdev1(2018)      5.42773       0.2836
recdev1(2019)      5.42773     0.259599
recdev1(2020)      5.42773     0.248155
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Q_parm[1]  3.16231e-08  1.62965e+09
