ParName   Value   Gradient
SR_parm[1]      3.01398  2.99315e+07
SR_parm[2]     0.132004  1.91261e+08
recdev1(1994)     -1.59195  2.64764e+07
recdev1(1995)      2.35544  1.91798e+07
recdev1(1996)     -1.62426 -1.39038e+07
recdev1(1997)     -2.76982 -1.13893e+07
recdev1(1998)      -1.9863 -1.32045e+07
recdev1(1999)       1.1044 -8.48456e+06
recdev1(2000)      1.72007  3.89934e+06
recdev1(2001)     -2.03468 -1.27994e+07
recdev1(2002)      5.15266  1.00171e+08
recdev1(2003)      1.55478  1.04002e+07
recdev1(2004)      -1.7175 -1.36161e+07
recdev1(2005)     -2.11321 -1.30638e+07
recdev1(2006)     -1.76362 -1.37686e+07
recdev1(2007)     -1.27466 -1.45055e+07
recdev1(2008)      -1.2159 -1.45159e+07
recdev1(2009)      3.52892 -2.54404e+06
recdev1(2010)     -2.66822 -1.07093e+07
recdev1(2011)      1.48112  2.88253e+07
recdev1(2012)      1.12219 -7.41163e+06
recdev1(2013)     -2.51298 -1.21259e+07
recdev1(2014)     -1.63311 -1.40043e+07
recdev1(2015)     -2.62967 -1.18353e+07
recdev1(2016)      2.60018 -1.46113e+07
recdev1(2017)      2.71509 -1.44556e+07
recdev1(2018)     -2.79283  -1.1357e+07
recdev1(2019)      5.68489      -445046
recdev1(2020)     0.598653 -1.58128e+07
recdev1(2021)     0.710324 -1.58151e+07
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Q_parm[1]    -0.208993 -1.30706e+09
